# ----------------------------------------
# All Web Site Data
# New Statistics with Chuck
# 20190924-20190930
# ----------------------------------------

New Statistics with Chuck (Content Group),Pageviews
jervis-public-library,6
lake-placid-olympic-museum,6
manlius-library,6
marlboro-free-library,6
mastics-moriches-shirley-community-library,6
nccc-yearbooks,6
north-star,6
northport-east-northport-postcard-collection,6
orange-county-atlas-collection,6
p16694coll12,6
p16694coll36,6
pan-american-exposition-scrapbooks,6
rushton-collection,6
saint-regis-mohawk-tribe,6
srr_sph,6
st-patricks-high-school,6
student,6
suny-new-paltz-sojourner-truth-library,6
tps,6
village-voorheesville-historical-records,6
violetta-white-delafield-mushroom-collection,6
19th-century-monographs-history-western-new-york,5
bayport-yearbooks,5
catskill-public-library-digital-collection,5
chatham-public-library,5
chautauqua-cattaraugus-library-system-james-prendergast-library,5
chester-historical-society-collection,5
chittenango-landing-historic-photograph-collection,5
clarkson-university-harriet-call-burnap-memorial-library,5
clarkstown-country-club,5
collection_type/yearbooks?page=1,5
college-saint-rose-neil-hellman-library,5
cornwall-images-and-documents,5
crandall-public-library,5
culinary-institute-america-menu-collection,5
daredevils-niagara-photos-writing-orrin-e-dunlap-collection,5
early-canastota-collection,5
east-hampton-library,5
farmingdale-state-college-thomas-d-greenley-library,5
field_alpha_sort/C,5
field_alpha_sort/N?page=4,5
field_alpha_sort/S?page=1,5
friends-historic-kingston,5
gar-wood-collection,5
geneva-ny-city-directories,5
glen-cove-library,5
goshen-ny-postcards,5
hammond-central-school-yearbooks,5
haviland-heidgerd-historical-collection-images-and-documents,5
henry-uihlein-scrapbook,5
highland-hospital-1940-1949-school-nursing-during-world-war-ii,5
hiram-s-wilson-civil-war-letters,5
historic-postcards-lynbrook-ny,5
history-village-lakewood,5
houghton-college-willard-j-houghton-library,5
hudson-river-day-line-collection,5
hudson-river-valley-institute,5
la-bella-america-old-country-north-country,5
local-history-room-map-collection,5
merrick-historical-photographs,5
merrick-library,5
morristown-central-school-yearbooks,5
mountain-top-library-digital-collection,5
new-york-state-military-museum-and-veterans-research-center,5
ny-ontario-western-railway-photographs,5
nyh_topic/education,5
oceanside-high-school-yearbooks?fbclid=IwAR1dR7Qwuw7fdP6phocYndD_pdugq4Zoyx7sc_0nOl0NlU002axfoIrxyGA,5
oswego-public-library,5
p128401coll4,5
p16694coll115,5
p16694coll118,5
p16694coll44,5
p277601coll4,5
parishville-hopkinton-central-school-yearbooks,5
photographs-bob-wyer,5
pioneer-yearbooks,5
potsdam-fire-department,5
remsen-steuben-historical-society,5
rochester-civic-garden-center,5
salina-free-library,5
scarsdale-public-library,5
srr_skanhis,5
state-university-new-york-oswego-penfield-library,5
suny-geneseo,5
theodore-roosevelt-inaugural-site-foundation,5
tobcl,5
tupper-lake-public-library-photograph-collection,5
tuxedo-park-historic-photographs,5
union-college-robert-n-michaelson-uc-1972-postcard-collection,5
west-hempstead-public-library,5
yearbooks,5
YJJ,5
1935-federal-improvement-aerial-survey,4
aggazette,4
albany-ny-school-yearbooks,4
atari-coin-op-division-corporate-records-1969-2002,4
bard-college-archives-and-special-collections,4
bayport-blue-point-historic-postcards,4
brentwood-public-library,4
BUF009,4
cairo-public-library-digital-collection,4
calderone-theatre-collection,4
canastota-public-library,4
capital-district-library-council-albany-ny,4
charles-rand-penney-trail,4
chautauqua-cattaraugus-library-system,4
chautauqua-cattaraugus-library-system-olean-public-library,4
chester-historical-society,4
childwold-photograph-collection,4
chittenango-landing-canal-boat-museum,4
college-saint-rose-archives-map-collection,4
crouse-health-medical-library,4
cure-cottages-saranac-lake-ny,4
digital-long-island,4
erieville-nelson-heritage-society,4
fayetteville-free-library,4
field_alpha_sort/1,4
field_alpha_sort/B?page=7,4
field_alpha_sort/C?search_api_views_fulltext=+Civil+War,4
field_alpha_sort/G,4
field_alpha_sort/N?page=1,4
field_alpha_sort/N?page=5,4
field_alpha_sort/P,4
field_alpha_sort/T?page=1,4
field_alpha_sort/T?page=2,4
flood-1972-genesee-river-letchworth-state-park,4
genesee-valley-town-and-country-collection,4
george-f-johnson-memorial-library,4
harvey-fite-collection,4
hermon-dekalb-central-school-yearbooks-collection,4
historical-maps-ithaca-and-tompkins-county,4
hospital-good-shepherd,4
huntington-memorial-library,4
huntington-war-manuscripts,4
images-kingston-new-york,4
jewish-buffalo-image-collection,4
keuka-college-lightner-library,4
locust-valley-library,4
maria-college,4
maris-b-pierce-papers,4
mbl,4
n-triple-scene,4
new-york-central-college,4
north-country-community-college-north-country-community-college-libraries,4
nyack-library,4
NYBFL,4
nyh_topic/geography-maps,4
oceanside-library-history,4
p15109coll4,4
p16124coll8,4
p16694coll112,4
p16694coll35,4
p16694coll71,4
p16694coll99,4
p277601coll2,4
paul-smiths-college-st-regian-yearbooks-collection,4
pearl-river-ny-history-collection,4
photographs-mary-flagler-cary,4
pictorial-history-sonnenberg,4
plainview-old-bethpage-public-library-local-history-photograph-collection,4
putnam-county-historians-office-digital-collection,4
rambler-newsletter,4
refugees-starting-over-collection,4
reminiscent-history-north-collins,4
residential-albany-new-york,4
robert-e-hager-canal-boat-diagrams,4
