,2
flcc-charles-g-meder-library-digital-image-collection,5
fletcher-steele-collection,5
fletcher-steele-nursery-orders,2
flood-1972-genesee-river-letchworth-state-park,13
floods-chemung-county,2
floral-fete-collection,12
folk-art-and-artist-collection,5
folk-art-and-artist-collectionhttps://nyheritage.org/explore/collections/field_alpha_sort/C,1
forest-lawn-cemetery-margaret-l-wendt-archive-and-resource-center,5
forsyth-family-collection,2
fort-orange-collection,6
fort-plain-free-library,3
fort-plain-street-fair,65
francis-m-and-henry-h-stone-collection,3
frank-estabrook-collection,14
franklin-county-historical-and-museum-society,4
franklin-d-roosevelt-library,6
franklin-d-roosevelts-family-history-hudson-valley,3
fred-r-wolcott-photographic-collection,1
fred-walster-diary,1
frederick-douglass-paper,81
freeport-high-school-yearbooks-and-commencement-programs,48
freeport-historic-photographs,131
freeport-memorial-library,74
freeport-memorial-library-board-minutes,1
freeport-music-scores-playbills-programs,6
friends-historic-kingston,24
fulton-chain-lakes-photograph-collection,1
fulton-montgomery-community-college,10
galway-public-library,3
gar-wood-collection,3
garden-city-general-collection,6
garden-city-public-library,10
garden-city-village-archives-collection,19
gayer-collection,10
gene-horton-collection,4
general-collection,7
general-electric-audio-recordings,2
general-electric-historical-documents,3
general-electric-photographs,11
genesee-community-college-alfred-c-oconnell-library,3
genesee-community-college-history,6
genesee-valley-hunt,10
genesee-valley-town-and-country-collection,9
geneva-civil-war-collection,17
geneva-historical-society,59
geneva-historical-society-postcard-collection,8
geneva-james-g-vail-collection,26
geneva-medical-college-1834-1871,84
geneva-ny-city-directories,42
geneva-public-library,23
geneva-public-library-digital-collection,7
george-f-johnson-memorial-library,12
george-marshall-family-photograph-collection,1
george-nathan-newman-collection-photographs-vanished-and-vanishing-buffalo,27
george-nathan-newman-collection-photographs-vanishing-buffalo,1
george-springsteen-photograph-collection,4
george-w-fenner-world-war-i-photographs-syracuse-ny-1918,7
george-whitfield-butts-photograph-collection,1
gill-room-postcard-collection-greenwich-ny,3
glass-workers-oral-histories,1
glen-cove-historic-postcards,1
glen-cove-library,11
glen-cove-public-library-photograph-collection,9
glen-letters-collection,7
glens-falls-feeder-canal,7
glens-falls-hometown-usa,75
gloversville-library-ny,2
gloversville-public-library,10
gold-coast-historic-postcards,3
gold-coast-historical-collection,2
gold-coast-public-library,19
golden-age-st-lawrence,2
golden-hill-school-collection,2
gordon-muck-collection,7
goshen-public-library-historical-society,24
Gospel-Messenger-Collection,1
gouverneur-central-school-yearbooks-collection,109
grace-cogswell-photograph-collection,1
great-neck-historic-postcards,3
great-neck-library,6
great-neck-photographs-collection,9
great-steamboat-race-letters,9
greater-oneonta-historical-society,2
greene-county-libraries-association,32
greenwich-free-library,4
greenwood-lake-public-library,11
greenwood-lake-public-library-obituary-files,1
greenwood-lake-public-library-scrapbooks,5
greeting-cards,1
grems-doolittle-library-25th-anniversary,6
gridiron-yearbooks,95
groundbreaking-health-sciences-library,1
grove-sheldon-gilbert-portraits,2
grumman,25
guilderland-central-school-district-collection,2
guilderland-historical-society-collection,11
guilderland-photographs,8
guilderland-public-library,42
half-hollow-hills-community-library,21
half-hollow-hills-historic-melville,43
half-hollow-hills-library-history,7
halleran-family-collection,1
hamilton-burr-duel-collection,13
hamilton-public-library,2
hamilton-public-library-postcard-collection,3
hammond-central-school-yearbooks,20
hardy-family-photographs,7
harriet-martin-dey-photograph-collection,6
harrisville-central-school-yearbooks,52
harry-bruno-collection,2
hartwick-college-records-hartwick-college,11
hartwick-college-stevens-german-library,5
hartwick-seminary-records-hartwick-college,24
harvey-fite-collection,2
hasbroucks-locust-lawn,2
haverstraw-ny-history-collection,6
haviland-heidgerd-historical-collection-images-and-documents,16
heermance-memorial-library-digital-collection,12
hempstead-public-library,81
henrietta-local-history-collection,2
henry-darwin-didama-md-collection,1
henry-page-historical-files,12
henry-uihlein-scrapbook,5
hepburn-library-colton,4
herbert-pratt-estate-collection,13
heritage-awards,2
hermon-dekalb-central-school-yearbooks-collection,75
herschell-carrousel-factory-museum,3
heuvelton-central-school-yearbooks,100
hewlett-collection,10
hewlett-jones-collection,12
hicksville-historic-photographs,31
hicksville-public-library,46
high-falls-club-photograph-collection,1
high-school-yearbooks-chemung-county,67
highland-hospital-1889-1940,3
highland-hospital-1940-1949-school-nursing-during-world-war-ii,43
highland-hospital-school-nursing-scrapbooks,11
hilbert-college-mcgrath-library,4
hiram-s-wilson-civil-war-letters,3
historic-bayport-snapshots-time,4
historic-hempstead,158
historic-huguenot-street,52
historic-huguenot-street-photographs-and-portraits,9
historic-ithaca,8
historic-paintings-james-prendergast-library,8
historic-photographs-new-rochelle,45
historic-postcards-east-rockaway-ny,15
historic-postcards-lynbrook-ny,23
historic-postcards-new-rochelle,44
historic-postcards-sardinia-ny,5
historic-postcards-ulster-county,2
historic-red-hook,67
historic-rockville-centre-postcards,69
historic-views-forest-lawn,4
historical-maps-ithaca-and-tompkins-county,15
historical-photographs-east-rockaway,13
historical-photographs-lynbrook,19
historical-society-east-rockaway-and-lynbrook+,2
historical-society-east-rockaway-and-lynbrook,53
historical-society-massapequas-collection,60
historical-society-rockland-county,41
historical-society-town-chester,5
history-black-community-syracuse,86
history-canisius-college,1
history-center-tompkins-county,7
history-crandall-public-library,3
history-moffat-library,1
history-town-amherst-new-york-1818-1965,90
history-tuberculosis-crouse-hospital,1
history-village-lakewood,20
history-waterville-collection,12
hobart-and-william-smith-colleges,10
hofstra-estate-collection,3
hofstra-university-hofstra-university-library,5
holland-land-company-archives,91
holland-land-company-maps,247
holland-patent-free-library,6
holy-family-high-school-yearbooks,20
holy-trinity-seminary,2
homelands-exhibition,3
honeoye-falls-lima-yearbook-collection,41
horse-drawn-transportation-potsdam,3
horse-thieves-collection,11
hospital-good-shepherd,32
houghton-college-willard-j-houghton-library,11
hudson-8000-years-native-american-history-and-culture,9
hudson-area-library,23
hudson-fulton-celebration-1909,14
hudson-fulton-celebration-1909-0,3
hudson-river-day-line-collection,24
hudson-river-maritime-museum,30
hudson-river-night-boat-collection,8
hudson-river-valley-institute,36
hudson-river-voyage-c1937-39,5
hudson-valley-community-college,11
hudson-valley-community-college-1959-present,1
hudson-valley-sports-and-athletics,3
hudson-valley-technical-institute-1953-1958,2
hudson-valley-visual-art-collections-consortium,1
huntington-archives,5
huntington-deeds,6
huntington-historical-maps,21
huntington-historical-photographs,8
huntington-legal-manuscripts,10
huntington-memorial-library,26
huntington-postcard-collection,4
huntington-public-library,20
huntington-town-clerks-archives,37
huntington-war-manuscripts,9
huntingtontown-clerks-archives,1
hurricane-sandy-collection,4
hws-vail-photograph-collection,57
ilion-free-public-library,212
ilion-urban-renewal-collection,162
ilions-era-progression-and-improvement,52
images-early-vassar,2
images-kingston-new-york,26
images-rockland-county,46
industries-old-new-hartford-collection,18
irvington-ny-history-collection,15
irvington-public-library,27
ithaca-college-history-project,3
ithaca-college-library,26
ithaca-college-photographs,11
ithaca-college-yearbooks,17
ithaca-tax-assessment-photographs,2
j-n-adam-memorial-hospital,12
jackson-health-resort-collection,1
james-b-preston-md-collection,4
james-e-horton-collection,5
james-milne-suny-oneonta,3
jamestown-and-olean-ny-city-directories-1875-1916,45
jane-secor-collection,2
je-me-souviensi-remember-presenting-and-preserving-heritage-upstate-new-yorks-franco,30
jefferson-community-college-jefferson-community-college-library,24
jeffersonian-yearbooks-collection,4
jennie-curtis-cannon-collection,7
jericho-historical-collection,2
jericho-public-library,6
jervis-public-library,6
jessie-bonnie-monroe-fashion-illustration-collection,3
jesswin-camp-photograph-collection,1
jewish-buffalo-image-collection,11
john-b-jervis-drawings,3
john-burroughs-memorabilia-hartwick-college,1
john-burroughs-postcard-collection,2
john-j-burger-railroad-collection,2
john-mcconihe-collection,7
john-r-dixon-papers,3
john-s-apperson-jr-and-paul-schaefer-collections,5
john-s-apperson-jr-paul-schaefer-collections,3
john-scott-postcard-collection,9
jones-collection,3
joseph-h-treyz-collection-civil-war-patriotic-envelopes,3
joseph-jacques-ramee-architectural-plans-union-college,1
joseph-jacques-ramée-architectural-plans-union-college,11
joseph-scala-collection,21
judicial-portrait-collection,11
junior-league-buffalo,2
justus-f-mueller-phd-papers,13
