"Council","InstitutionID","InstitutionName","Path","Pageviews"
"Southeastern New York Library Resources Council","SENYLRC003","Palisades Interstate Park Commission","palisades-interstate-park-commission",0
"Southeastern New York Library Resources Council","SENYLRC004","Historic Red Hook","historic-red-hook",0
"Southeastern New York Library Resources Council","SENYLRC005","Hudson River Maritime Museum","hudson-river-maritime-museum",0
"Southeastern New York Library Resources Council","SENYLRC006","Newburgh Free Library","newburgh-free-library",0
"Southeastern New York Library Resources Council","SENYLRC007","Hudson Area Library","hudson-area-library",0
"Southeastern New York Library Resources Council","SENYLRC008","Vassar Brothers Medical Center - Archives","vassar-brothers-medical-center-archives",0
"Southeastern New York Library Resources Council","SENYLRC009","Greenwood Lake Public Library","greenwood-lake-public-library",0
"Southeastern New York Library Resources Council","SENYLRC010","Cary Institute of Ecosystem Studies","cary-institute-ecosystem-studies",7
"Southeastern New York Library Resources Council","SENYLRC011","Goshen Public Library & Historical Society","goshen-public-library-historical-society",0
"Southeastern New York Library Resources Council","SENYLRC012","Elting Memorial Library - Haviland-Heidgerd Historical Collection","elting-memorial-library-haviland-heidgerd-historical-collection",14
"Southeastern New York Library Resources Council","SENYLRC013","Newburgh Heritage Collection","newburgh-heritage-collection",0
"Southeastern New York Library Resources Council","SENYLRC014","Ellenville Public Library & Museum","ellenville-public-library-museum",24
"Southeastern New York Library Resources Council","SENYLRC015","Scarsdale Public Library","scarsdale-public-library",0
"Southeastern New York Library Resources Council","SENYLRC016","Cornwall Public Library","cornwall-public-library",41
"Southeastern New York Library Resources Council","SENYLRC017","Woodstock Public Library District","woodstock-public-library-district",0
"Southeastern New York Library Resources Council","SENYLRC018","Wilderstein Historic Site","wilderstein-historic-site",0
"Southeastern New York Library Resources Council","SENYLRC019","SUNY New Paltz - Sojourner Truth Library","suny-new-paltz-sojourner-truth-library",0
"Southeastern New York Library Resources Council","SENYLRC020","Library Association of Rockland County","library-association-rockland-county",0
"Southeastern New York Library Resources Council","SENYLRC021","Library Association of Rockland County - Haverstraw King's Daughters Public Library","library-association-rockland-county-haverstraw-kings-daughters-public-library",0
"Southeastern New York Library Resources Council","SENYLRC022","Library Association of Rockland County - Nanuet Public Library","library-association-rockland-county-nanuet-public-library",0
"Southeastern New York Library Resources Council","SENYLRC023","Library Association of Rockland County - New City Library","library-association-rockland-county-new-city-library",0
"Southeastern New York Library Resources Council","SENYLRC024","Library Association of Rockland County - Palisades Free Library","library-association-rockland-county-palisades-free-library",0
"Southeastern New York Library Resources Council","SENYLRC025","Library Association of Rockland County - Pearl River Library","library-association-rockland-county-pearl-river-library",0
"Southeastern New York Library Resources Council","SENYLRC026","Library Association of Rockland County - Piermont Public Library","library-association-rockland-county-piermont-public-library",0
"Southeastern New York Library Resources Council","SENYLRC027","Library Association of Rockland County - Suffern Free Library","library-association-rockland-county-suffern-free-library",0
"Southeastern New York Library Resources Council","SENYLRC028","Library Association of Rockland County - Tappan Library","library-association-rockland-county-tappan-library",0
"Southeastern New York Library Resources Council","SENYLRC029","Library Association of Rockland County - Tomkins Cove Public Library","library-association-rockland-county-tomkins-cove-public-library",0
"Southeastern New York Library Resources Council","SENYLRC030","Library Association of Rockland County - Valley Cottage Library","library-association-rockland-county-valley-cottage-library",0
"Southeastern New York Library Resources Council","SENYLRC031","Library Association of Rockland County - West Nyack Library","library-association-rockland-county-west-nyack-library",0
"Southeastern New York Library Resources Council","SENYLRC032","New Rochelle Public Library","new-rochelle-public-library",0
"Southeastern New York Library Resources Council","SENYLRC033","Liberty High School Library","liberty-high-school-library",0
"Southeastern New York Library Resources Council","SENYLRC034","Museum Village","museum-village",0
"Southeastern New York Library Resources Council","SENYLRC035","Chester Historical Society","chester-historical-society",3
"Southeastern New York Library Resources Council","SENYLRC036","Chatham Public Library","chatham-public-library",10
"Southeastern New York Library Resources Council","SENYLRC037","Hudson River Valley Institute","hudson-river-valley-institute",0
"Southeastern New York Library Resources Council","SENYLRC039","Bard College - Archives and Special Collections","bard-college-archives-and-special-collections",13
"Southeastern New York Library Resources Council","SENYLRC040","Historic Huguenot Street","historic-huguenot-street",0
"Southeastern New York Library Resources Council","SENYLRC041","Marlboro Free Library","marlboro-free-library",0
"Southeastern New York Library Resources Council","SENYLRC042","Moffat Library of Washingtonville","moffat-library-washingtonville",0
"Southeastern New York Library Resources Council","SENYLRC043","Irvington Public Library","irvington-public-library",0
"Southeastern New York Library Resources Council","SENYLRC044","Dutchess Community College - Francis U. and Mary F. Ritz Library","dutchess-community-college-francis-u-and-mary-f-ritz-library",4
"Southeastern New York Library Resources Council","SENYLRC045","Maybrook Railroad Museum","maybrook-railroad-museum",0
"Southeastern New York Library Resources Council","SENYLRC046","Nathan S. Kline Institute for Psychiatric Research","nathan-s-kline-institute-psychiatric-research",0
"Southeastern New York Library Resources Council","SENYLRC047","Tuxedo Park Library","tuxedo-park-library",0
"Southeastern New York Library Resources Council","SENYLRC048","Nyack Library","nyack-library",0
"Southeastern New York Library Resources Council","SENYLRC049","Putnam County NY History Collections","putnam-county-ny-history-collections",0
"Southeastern New York Library Resources Council","SENYLRC050","Greene County Libraries Association","greene-county-libraries-association",0
"Southeastern New York Library Resources Council","SENYLRC051","Franklin D. Roosevelt Library","franklin-d-roosevelt-library",0
"Southeastern New York Library Resources Council","SENYLRC052","Trinity-Pawling School - Gardiner Library and Learning Commons","trinity-pawling-school-gardiner-library-and-learning-commons",0
"Southeastern New York Library Resources Council","SENYLRC053","Orange County Community College - Library","orange-county-community-college-library",0
"Southeastern New York Library Resources Council","SENYLRC054","Ulster County Historical Society","ulster-county-historical-society",0
"Southeastern New York Library Resources Council","SENYLRC055","Newburgh Historical Society","newburgh-historical-society",0
"Southeastern New York Library Resources Council","SENYLRC056","Historical Society of Rockland County","historical-society-rockland-county",0
"Southeastern New York Library Resources Council","SENYLRC057","Rhinebeck Historical Society","rhinebeck-historical-society",0
"Southeastern New York Library Resources Council","SENYLRC058","Ulster County Community College - Macdonald DeWitt Library","ulster-county-community-college-macdonald-dewitt-library",0
"Southeastern New York Library Resources Council","SENYLRC059","Reher Center for Immigrant Culture and History","reher-center-immigrant-culture-and-history",0
"Southeastern New York Library Resources Council","SENYLRC060","Saugerties Public Library","saugerties-public-library",0
"Southeastern New York Library Resources Council","SENYLRC061","Locust Grove Estate","locust-grove-estate",0
"Southeastern New York Library Resources Council","SENYLRC062","Stone Ridge Public Library","stone-ridge-public-library",0
"Southeastern New York Library Resources Council","SENYLRC063","Somers Historical Society","somers-historical-society",0
"Southeastern New York Library Resources Council","SENYLRC064","Orangetown Historical Museum & Archives","orangetown-historical-museum-archives",0
"Southeastern New York Library Resources Council","SENYLRC065","Culinary Institute of America - Archives and Special Collections","culinary-institute-america-archives-and-special-collections",30
"Southeastern New York Library Resources Council","SENYLRC066","Roosevelt-Vanderbilt Historical Association","roosevelt-vanderbilt-historical-association",0
"Southeastern New York Library Resources Council","SENYLRC067","Senate House Historic Site","senate-house-historic-site",0
"Southeastern New York Library Resources Council","SENYLRC068","Plattekill Historical Society","plattekill-historical-society",0
"Southeastern New York Library Resources Council","SENYLRC069","Sound & Story Project of the Hudson Valley","sound-story-project-hudson-valley",0
"Southeastern New York Library Resources Council","SENYLRC070","Albert Wisner Public Library","albert-wisner-public-library",22
"Southeastern New York Library Resources Council","SENYLRC071","Hudson Valley Visual Art Collections Consortium","hudson-valley-visual-art-collections-consortium",0
"Southeastern New York Library Resources Council","SENYLRC072","New Paltz Town Records","new-paltz-town-records",0
"Southeastern New York Library Resources Council","SENYLRC073","Staatsburg Library","staatsburg-library",0
"Southeastern New York Library Resources Council","SENYLRC074","Columbia-Greene Community College - Library & Media Services","columbia-greene-community-college-library-media-services",15
