"Council","InstitutionID","InstitutionName","Path","Pageviews"
"Long Island Library Resources Council","LILRC023","Jericho Public Library","jericho-public-library",0
"Long Island Library Resources Council","LILRC024","Levittown Public Library","levittown-public-library",0
"Long Island Library Resources Council","LILRC025","Webb Institute - Livingston Library","webb-institute-livingston-library",0
"Long Island Library Resources Council","LILRC026","Locust Valley Library","locust-valley-library",0
"Long Island Library Resources Council","LILRC028","Long Island Maritime Museum","long-island-maritime-museum",0
"Long Island Library Resources Council","LILRC029","Longwood Public Library","longwood-public-library",0
"Long Island Library Resources Council","LILRC030","Massapequa Public Library","massapequa-public-library",0
"Long Island Library Resources Council","LILRC031","Mastics-Moriches-Shirley Community Library","mastics-moriches-shirley-community-library",0
"Long Island Library Resources Council","LILRC032","Merrick Library","merrick-library",0
"Long Island Library Resources Council","LILRC033","Montauk Library","montauk-library",0
"Long Island Library Resources Council","LILRC034","Northport-East Northport Public Library","northport-east-northport-public-library",0
"Long Island Library Resources Council","LILRC035","Pierson Middle School","pierson-middle-school",0
"Long Island Library Resources Council","LILRC036","Plainview Old Bethpage Public Library","plainview-old-bethpage-public-library",0
"Long Island Library Resources Council","LILRC037","Port Jefferson Free Library","port-jefferson-free-library",0
"Long Island Library Resources Council","LILRC038","Port Washington Public Library","port-washington-public-library",0
"Long Island Library Resources Council","LILRC039","Rockville Centre Public Library","rockville-centre-public-library",0
"Long Island Library Resources Council","LILRC040","Stony Brook University - Stony Brook University Libraries","stony-brook-university-stony-brook-university-libraries",0
"Long Island Library Resources Council","LILRC041","The Smithtown Library","smithtown-library",0
"Long Island Library Resources Council","LILRC042","Farmingdale State College - Thomas D. Greenley Library ","farmingdale-state-college-thomas-d-greenley-library",10
"Long Island Library Resources Council","LILRC043","West Hempstead Public Library","west-hempstead-public-library",0
"Long Island Library Resources Council","LILRC044","Westbury Memorial Public Library","westbury-memorial-public-library",0
"Long Island Library Resources Council","LILRC045","Manhasset Public Library","manhasset-public-library",0
"Long Island Library Resources Council","LILRC046","Oceanside Library","oceanside-library",0
"Long Island Library Resources Council","LILRC052","Long Beach Public Library","long-beach-public-library",0
"Long Island Library Resources Council","LILRC055","Cradle of Aviation Museum","cradle-aviation-museum",348
"Long Island Library Resources Council","LILRC056","Whaling Museum and Education Center","whaling-museum-and-education-center",0
"Long Island Library Resources Council","LILRC057","Sayville Library","sayville-library",0
"Long Island Library Resources Council","LILRC058","Wantagh Preservation Society","wantagh-preservation-society",0
"Long Island Library Resources Council","LILRC061","South Huntington Public Library","south-huntington-public-library",0
"Long Island Library Resources Council","LILRC60","Long Island Library Resources Council","long-island-library-resources-council",0
"Central New York Library Resources Council","CLRC001","American Pomeroy Historic Genealogical Association","american-pomeroy-historic-genealogical-association",8
"Central New York Library Resources Council","CLRC002","Baldwinsville Public Library","baldwinsville-public-library",27
"Central New York Library Resources Council","CLRC003","Canal Society of New York State","canal-society-new-york-state",138
"Central New York Library Resources Council","CLRC004","Canastota Public Library","canastota-public-library",12
"Central New York Library Resources Council","CLRC005","Central New York Library Resources Council","central-new-york-library-resources-council",0
"Central New York Library Resources Council","CLRC006","Cazenovia College - Witherill Library","cazenovia-college-witherill-library",0
"Central New York Library Resources Council","CLRC007","Chittenango Landing Canal Boat Museum","chittenango-landing-canal-boat-museum",12
"Central New York Library Resources Council","CLRC008","CNY Chapter National Railway Historical Society","cny-chapter-national-railway-historical-society",25
"Central New York Library Resources Council","CLRC009","Crouse Health - Medical Library","crouse-health-medical-library",2
"Central New York Library Resources Council","CLRC010","Community Library of DeWitt & Jamesville","community-library-dewitt-jamesville",5
"Central New York Library Resources Council","CLRC011","Dunham Public Library","dunham-public-library",57
"Central New York Library Resources Council","CLRC012","Earlville Free Library","earlville-free-library",7
"Central New York Library Resources Council","CLRC013","Erie Canal Museum","erie-canal-museum",59
"Central New York Library Resources Council","CLRC014","Erieville-Nelson Heritage Society","erieville-nelson-heritage-society",14
"Central New York Library Resources Council","CLRC015","Fayetteville Free Library","fayetteville-free-library",14 fayetteville-free-library
"Central New York Library Resources Council","CLRC016","Hamilton Public Library","hamilton-public-library",0
"Central New York Library Resources Council","CLRC017","Holland Patent Free Library","holland-patent-free-library",0
"Central New York Library Resources Council","CLRC018","Holy Trinity Seminary","holy-trinity-seminary",0
"Central New York Library Resources Council","CLRC019","Jervis Public Library","jervis-public-library",0
"Central New York Library Resources Council","CLRC020","Little Falls Public Library","little-falls-public-library",0
"Central New York Library Resources Council","CLRC021","Liverpool Public Library","liverpool-public-library",0
"Central New York Library Resources Council","CLRC022","Manlius Library","manlius-library",0
"Central New York Library Resources Council","CLRC023","Onondaga County Public Library - Mundy Branch Library","onondaga-county-public-library-mundy-branch-library",0
"Central New York Library Resources Council","CLRC024","New Hartford Public Library","new-hartford-public-library",0
"Central New York Library Resources Council","CLRC025","Onondaga County Public Library - Central Library","onondaga-county-public-library-central-library",0
"Central New York Library Resources Council","CLRC026","Oneida Public Library","oneida-public-library",0
"Central New York Library Resources Council","CLRC027","Onondaga Community College - Coulter Library","onondaga-community-college-coulter-library",0
"Central New York Library Resources Council","CLRC028","Oriskany Village Museum","oriskany-village-museum",0
"Central New York Library Resources Council","CLRC029","Remsen Steuben Historical Society","remsen-steuben-historical-society",0
"Central New York Library Resources Council","CLRC030","Salina Free Library","salina-free-library",0
"Central New York Library Resources Council","CLRC031","Skaneateles Historical Society","skaneateles-historical-society",0
