bard-college-architecture-past-and-present,1
bard-college-archives-and-special-collections,13
bard-college-presidents,1
bard-college-radio-wxbc,3
bard-family-papers,10
bard-student-fire-department,2
bard-tivoli-history-collection,2
barge-canal-construction-middle-division,20
barge-canal-construction-western-division,5
battenkill-inspired,1
bayles-pamphlets,4
bayport-blue-point-historic-postcards,24
bayport-bluepoint-public-library,17
bayport-yearbooks,46
beauchamp-branch-photodocumentation-project-1994,6
bellmore-historical-association-bellmore-memorial-library,2
bellmore-historical-photographs,55
bellmore-memorial-library,11
bellmore-postcards,5
belva-lockwood-manuscript-collection,1
bentley-snow-crystal-collection,83
best-family,2
best-threads-fashions-warwick-new-york-circa-1900,8
bethlehem-public-library,27
bethpage-historical-collection,18
bethpage-public-library,9
big-flats-and-chemung-county-historical-collection,11
big-flats-historical-society-and-museum,6
big-flats-historical-society-calendars-and-publications,2
binary-visions-19th-century-woven-coverlets,8
binghamton-university-binghamton-university-libraries,6
blue-point-fire-department-collection,7
bob-knight-postcard-collection,6
bowers-collection,2
boy-scouts-america-troop-73-voorheesville-new-york-collection,8
brentwood-historical-collection,3
brentwood-historical-photographs,47
brentwood-pen-and-ink-drawings,1
brentwood-postcards,23
brentwood-public-library,4
brockport-village-glass-plate-negatives,1
brockway-motor-trucks-collection,33
broome-county-public-library,1
bryant-historic-postcards,18
bryant-library,3
buffalo-address-book-and-family-directory,34
buffalo-and-erie-county-public-library,144
buffalo-broadcasters-association,39
buffalo-central-terminal-scrapbook,3
buffalo-city-directories,266
buffalo-express,1
buffalo-history-museum,22
buffalo-ku-klux-klan-membership-list,224
buffalo-municipal-housing-authority-report-maps,3
buffalo-museum-science,12
buffalo-niagara-heritage-village,7
buffalo-olmsted-parks-conservancy,3
buffalo-olmsted-parks-postcards-stereo-views,56
buffalo-photograph-collection-lantern-slides-circa-1890-1910,36
buffalo-postcards,35
buffalo-public-school-library-system,2
bullis-family-collection,12
burt-loescher-collection-rogers-rangers-french-and-indian-war,15
businesses-albany-new-york,11
butler-family-papers,5
bWlzY2ktbX,2
c2FyYXRvZ2,2
c2NoZW5lY3,2
calderone-theatre-collection,20
caldwell-family-collection,6
calvin-coolidge-paul-smiths,2
camp-mills-photographs,86
camp-russell-boy-scouts-collection,8
camp-syracuse,39
camp-upton-postcards,6
canal-society-new-york-state,138
canastota-public-library,12
canastota-schools-collection,2
canisius-college-andrew-l-bouwhuis-library,13
canisius-college-church-records,2
canisius-college-coaches-and-sports,1
canisius-college-course-catalogs,4
canisius-college-presidents,2
canton-central-school-yearbooks-collection,145
capital-district-library-council,1
capital-district-radio-and-television-broadcasting,24
cardinal-suny-plattsburgh-college-yearbooks,94
carl-schmidt-collection-two-dimensional-drawings,10
carrie-jones-family-collection,5
cary-institute-ecosystem-studies,7
catskill-public-library-digital-collection,5
center-inquiry-center-inquiry-libraries,4
center-photography-woodstock-collection,1
central-square-oral-history-collection,1
cephas-breed-md-papers,1
champlain-canal-collection,8
chapter-activities-central-new-york-chapter-nrhs,2
charles-rand-penney-trail,9
charles-sylvester-piersaull-photographs,1
charles-w-lanning-md-papers,2
chatham-high-school-commencement-programs,3
chatham-public-library,10
chatham-public-library-yearbook-collection,2
chatham-school-photographs-1890-1940,4
