# ----------------------------------------
# All Web Site Data
# Drupal-Side Statistics with Chuck
# 20200401-20200430
# ----------------------------------------

Drupal-Side Stats (Content Group),Pageviews
cortland-county-historical-society,74
holland-land-company-archives,73
freeport-memorial-library,72
geneva-ny-city-directories,72
liverpool-public-library,72
syracuse-central-high-school-archives,72
working-erie-canal,71
history-tuberculosis-crouse-hospital,70
allan-herschell-ride-archive,69
baldwinsville-public-library,69
historical-society-rockland-county,69
lisbon-central-school-yearbooks?fbclid=IwAR1oMM-021whZ_PjIygb_meMnqHUkotr5EsqLKARUZ03ZEiK--J9In0jzMA,69
freeport-high-school-yearbooks-and-commencement-programs,68
town-clifton-park-history-collection,67
clifton-park-halfmoon-public-library,66
palisades-interstate-park-commission,64
adirondack-experience,62
friends-historic-kingston,62
historical-photographs-lynbrook,62
bayport-blue-point-historic-postcards,61
east-end-historic-district-inventory-photographs,61
field_alpha_sort/C,61
guilderland-public-library,61
nehasane-park-photograph-collection,61
northport-east-northport-public-library,61
hempstead-public-library,60
merrick-historical-photographs,60
1964-rochester-riot-photographs,59
bentley-snow-crystal-collection,59
nickell-collection-dr-rv-pierce-medical-artifacts,58
whaling-museum-and-education-center,58
empire-forester-yearbooks,57
world-war-2-fallen-sons,57
field_alpha_sort/S,56
geneva-public-library,56
lake-view-cemetery-records?fbclid=IwAR2Bb_KzlQXcdOqzWeIvwWv_FTGG59_TQYKRZeanK5OssqbuaSU4yNsr5kY,56
oneida-public-library,56
state-university-new-york-plattsburgh-feinberg-library,56
tupper-lake-goff-nelson-memorial-library,56
ward-manor,56
buffalo-photograph-collection-lantern-slides-circa-1890-1910,55
culinary-institute-america-menu-collection,55
geneva-historical-society,55
holy-family-high-school-yearbooks,55
historic-red-hook,54
polster-photographs-lockport-ny,53
railroad-photograph-collection,53
bard-college-archives-and-special-collections,52
douglass-monthly,52
hudson-8000-years-native-american-history-and-culture,52
village-manlius-collection,52
western-new-york-county-atlases,52
20th-century-remains-genesee-valley-canal,51
agricola-and-paysonian-yearbooks,51
crouse-hospital-history,51
fenimore-art-museum,51
rensselaer-county-historical-society,51
roswell-p-flower-memorial-library,51
somers-historical-society,51
images-rockland-county,50
oswego-historical-society,50
suny-college-environmental-science-and-forestry-moon-library,50
suny-fredonia-daniel-reed-library,50
historical-society-massapequas-collection,49
port-washington-main-street-collection,49
bethlehem-public-library,48
field_alpha_sort/O,48
hudson-river-maritime-museum,48
paul-smiths-college-st-regian-yearbooks-collection,48
postcard-collection,48
yearbooks,48
crandall-public-library,46
culinary-institute-america-archives-and-special-collections,46
field_alpha_sort/L,46
moffat-library-washingtonville,46
bryant-historic-postcards,45
new-york-ordnance-works-collection,45
buffalo-history-museum,44
oceanside-library,44
haverstraw-ny-history-collection,43
historical-maps-ithaca-and-tompkins-county,43
field_alpha_sort/P,42
hudson-river-day-line-collection,42
images-kingston-new-york,42
rockville-centre-historic-village-photographs,42
st-patricks-high-school,42
field_alpha_sort/B,41
field_alpha_sort/M,41
norman-l-woodford-md-papers,41
town-halfmoon-historians-collection,41
west-hempstead-local-history,41
15th-new-york-national-guard-enlistment-records,40
19th-century-monographs-history-western-new-york,40
dyouville-college-architecture-buildings-grounds,40
albert-r-stone-negative-collection,39
cny-chapter-national-railway-historical-society,39
crystal-beach,39
hammond-central-school-yearbooks,39
hudson-river-valley-institute,39
ogdensburg-city-school-district-yearbook-collection?fbclid=IwAR1XmdfFyXRrh3Gp_Awy3spB453Cd-exCjwQqeJUY3qelvl_WX9hTzp-X_s,39
schenectady-new-york-street-scenes,39
south-mountains-collection,39
valley-cottage-ny-history-collection,39
bayport-bluepoint-public-library,38
collection_type/yearbooks?page=1,38
early-history-potsdam,38
great-neck-photographs-collection,38
history-black-community-syracuse,38
nazareth-college-yearbooks-collection,38
ny-ontario-western-railway-photographs,38
port-washington-public-library,38
ticonderoga-pulp-and-paper-company-photograph-collection,38
union-college,38
field_alpha_sort/H,37
glens-falls-hometown-usa,37
northport-east-northport-postcard-collection,37
plainview-old-bethpage-public-library,37
ward-manor-collection,37
african-american-presence-hudson-valley,36
ge-research-lab-photographs,36
hudson-area-library,36
j-n-adam-memorial-hospital,36
nyack-library,36
oceanside-high-school-yearbooks?fbclid=IwAR3LsU_HoG_JNALRKhbpGlmgT-aSB0j7GIN9PzOkpgY5H0D3xDoOQsBHY9E,36
rochester-ny-city-directories,36
st-lawrence-university-special-collections-and-vance-university-archives,36
brockway-motor-trucks-collection,35
field_alpha_sort/G,35
george-nathan-newman-collection-photographs-vanished-and-vanishing-buffalo,35
moss-lake-camp-photograph-collection,35
new-york-state-military-museum-and-veterans-research-center,35
saint-regis-mohawk-tribe,35
arthur-koweek-collection-hudson-urban-renewal,34
cure-cottages-saranac-lake-ny,34
darwin-d-martin-photograph-collection,34
field_alpha_sort/W,34
historic-photographs-new-rochelle,34
manlius-library,34
mark-twain-collection,34
onondaga-county-public-library-central-library,34
personalities,34
residential-albany-new-york,34
spaceflight,34
tugboats-workhorses-hudson,34
albany-institute-history-and-art,33
field_alpha_sort/E,33
grumman,33
suny-new-paltz-college-yearbook-collection,33
camp-syracuse,32
ellis-hospital-collection,32
huntington-public-library,32
library-association-rockland-county,32
plattsburgh-barracks,32
collection_type/yearbooks?page=2,31
field_alpha_sort/Y,31
historical-photographs-east-rockaway,31
history-waterville-collection,31
kent-historical-society-digital-collection,31
plainview-old-bethpage-public-library-local-history-photograph-collection,31
