"Council","InstitutionID","InstitutionName","CollectionAlias","Pageviews"
"Southeastern New York Library Resources Council","SENYLRC041","Marlboro Free Library","marlboro",2101
"Southeastern New York Library Resources Council","SENYLRC042","Moffat Library of Washingtonville","mlw",122
"Southeastern New York Library Resources Council","SENYLRC043","Irvington Public Library","ipl",712
"Southeastern New York Library Resources Council","SENYLRC044","Dutchess Community College - Francis U. and Mary F. Ritz Library","dcc",315
"Southeastern New York Library Resources Council","SENYLRC045","Maybrook Railroad Museum","mrhs",402
"Southeastern New York Library Resources Council","SENYLRC046","Nathan S. Kline Institute for Psychiatric Research","norbn",19
"Southeastern New York Library Resources Council","SENYLRC047","Tuxedo Park Library","tpl",4540
"Southeastern New York Library Resources Council","SENYLRC048","Nyack Library","nyacklib",4615
"Southeastern New York Library Resources Council","SENYLRC049","Putnam County NY History Collections","pchc",1215
"Southeastern New York Library Resources Council","SENYLRC050","Greene County Libraries Association","gcla",1571
"Southeastern New York Library Resources Council","SENYLRC051","Franklin D. Roosevelt Library","fdr",716
"Southeastern New York Library Resources Council","SENYLRC052","Trinity-Pawling School - Gardiner Library and Learning Commons","tps",54
"Southeastern New York Library Resources Council","SENYLRC053","Orange County Community College - Library","occc",166
"Southeastern New York Library Resources Council","SENYLRC054","Ulster County Historical Society","uchs",585
"Southeastern New York Library Resources Council","SENYLRC056","Historical Society of Rockland County","hsrc",3379
"Southeastern New York Library Resources Council","SENYLRC057","Rhinebeck Historical Society","rhs",306
"Southeastern New York Library Resources Council","SENYLRC058","Ulster County Community College - Macdonald DeWitt Library","uccc",9
"Southeastern New York Library Resources Council","SENYLRC059","Reher Center for Immigrant Culture and History","rcich",35
"Southeastern New York Library Resources Council","SENYLRC060","Saugerties Public Library","spl",66
"Southeastern New York Library Resources Council","SENYLRC061","Locust Grove Estate","locustgrove",211
"Southeastern New York Library Resources Council","SENYLRC062","Stone Ridge Public Library","srl",17
"Southeastern New York Library Resources Council","SENYLRC063","Somers Historical Society","shs",318
"Southeastern New York Library Resources Council","SENYLRC064","Orangetown Historical Museum & Archives","orangetown",46
"Southeastern New York Library Resources Council","SENYLRC065","Culinary Institute of America - Archives and Special Collections","cia",1850
"Southeastern New York Library Resources Council","SENYLRC066","Roosevelt-Vanderbilt Historical Association","rvha",60
"Southeastern New York Library Resources Council","SENYLRC067","Senate House Historic Site","senatehouse",93
"Southeastern New York Library Resources Council","SENYLRC068","Plattekill Historical Society","phs",123
"Southeastern New York Library Resources Council","SENYLRC069","Sound & Story Project of the Hudson Valley","ssphv",2
"Southeastern New York Library Resources Council","SENYLRC070","Albert Wisner Public Library","hsw",27
"Southeastern New York Library Resources Council","SENYLRC071","Hudson Valley Visual Art Collections Consortium","hvvacc",99
"Southeastern New York Library Resources Council","SENYLRC072","New Paltz Town Records","nptr",126
"Southeastern New York Library Resources Council","SENYLRC073","Staatsburg Library","p16694coll124",200
"Southeastern New York Library Resources Council","SENYLRC074","Columbia-Greene Community College - Library & Media Services","p16694coll121",716
