"Council","InstitutionID","InstitutionName","CollectionAlias","Pageviews"
"Northern New York Library Network","NNYLN007","Adirondack History Center Museum - Essex County Historical Society","adkhistory",197
"Northern New York Library Network","NNYLN009","Jefferson Community College - Jefferson Community College Library","jcclibrary",1493
"Northern New York Library Network","NNYLN010","Keene Valley Library","keenev",114
"Northern New York Library Network","NNYLN011","Lake Placid-North Elba Historical Society","p16694coll73",554
"Northern New York Library Network","NNYLN012","Lake Placid Olympic Museum","p16694coll39",11
"Northern New York Library Network","NNYLN013","Miner Institute","miner",42
"Northern New York Library Network","NNYLN014","North Country Community College - North Country Community College Libraries","p16694coll50",597
"Northern New York Library Network","NNYLN016","Ogdensburg Public Library","ogdensburg",10
"Northern New York Library Network","NNYLN017","Oswego Public Library","nnyg",227
"Northern New York Library Network","NNYLN017","Oswego Public Library","p16694coll19",4540
"Northern New York Library Network","NNYLN018","Paul Smith's College - Joan Weill Adirondack Library","paulsmiths",3265
"Northern New York Library Network","NNYLN020","Potsdam Public Museum","ppm",127
"Northern New York Library Network","NNYLN021","Saranac Lake Free Library","slfl",118
"Northern New York Library Network","NNYLN022","St. Lawrence County Historical Association","slcha",264
"Northern New York Library Network","NNYLN023","St. Lawrence University - Special Collections and Vance University Archives","stlawu",9641
"Northern New York Library Network","NNYLN024","St. Lawrence-Lewis Board of Educational Services","sllboces",504070
"Northern New York Library Network","NNYLN025","Saint Regis Mohawk Tribe ","srmtenv",16
"Northern New York Library Network","NNYLN026","State University of New York at Oswego - Penfield Library","sunyoswego",19408
"Northern New York Library Network","NNYLN027","State University of New York at Plattsburgh - Feinberg Library","supl",13792
"Northern New York Library Network","NNYLN028","State University of New York at Potsdam - College Libraries","sunypotsdam",12705
"Northern New York Library Network","NNYLN029","Northern New York Library Network","p16694coll61",648
"Northern New York Library Network","NNYLN030","Thousand Islands Arts Center","p16694coll55",2
"Northern New York Library Network","NNYLN031","Thousand Islands Museum","tim",91
"Northern New York Library Network","NNYLN033","Traditional Arts in Upstate New York","p16694coll60",186
"Northern New York Library Network","NNYLN034","Tupper Lake Goff-Nelson Memorial Library","tupper",19972
"Northern New York Library Network","NNYLN035","Volney Town History Center","volney",38
"Northern New York Library Network","NNYLN036","Roswell P. Flower Memorial Library","wat",52325
"Northern New York Library Network","NNYLN037","North Country Underground Railroad Historical Association","nnyg",227
"Northern New York Library Network","NNYLN038","West Monroe Historical Society","nnyg",227
"Northern New York Library Network","NNYLN039","Hepburn Library of Colton","nnyg",227
"Northern New York Library Network","NNYLN040","Lake Placid Public Library","p16694coll86",531
"Northern New York Library Network","NNYLN041","Ticonderoga Historical Society","p16694coll98",482
"Northern New York Library Network","NNYLN042","State University of New York at Canton - Southworth Library","p16694coll104",4164
"Northern New York Library Network","NNYLN043","Sally Ploof Hunter Memorial Library","/p16694coll106",0
"Long Island Library Resources Council","LILRC001","Bayport-Bluepoint Public Library","p16373coll58",1299
"Long Island Library Resources Council","LILRC002","Bellmore Memorial Library","p16373coll123",682
"Long Island Library Resources Council","LILRC003","Bethpage Public Library","p15281coll1",9
"Long Island Library Resources Council","LILRC004","Brentwood Public Library","p15281coll20",1197
"Long Island Library Resources Council","LILRC005","Bryant Library","p15281coll8",272
"Long Island Library Resources Council","LILRC006","St. Joseph's College - Callahan Library","p15281coll57",182
"Long Island Library Resources Council","LILRC007","Dowling College - Dowling College Library","p15281coll25",203
"Long Island Library Resources Council","LILRC008","East Hampton Library","p15281coll2",9989
"Long Island Library Resources Council","LILRC009","East Meadow Public Library","p15281coll27",277
"Long Island Library Resources Council","LILRC010","Farmingdale Public Library","p15281coll40",549
"Long Island Library Resources Council","LILRC011","Freeport Memorial Library","p15281coll12",6926
"Long Island Library Resources Council","LILRC012","Garden City Public Library","p16373coll49",1455
"Long Island Library Resources Council","LILRC013","Glen Cove Library","p15281coll154",79
"Long Island Library Resources Council","LILRC014","Gold Coast Public Library","p15281coll65",314
"Long Island Library Resources Council","LILRC015","Great Neck Library","p15281coll10",1071
"Long Island Library Resources Council","LILRC016","Half Hollow Hills Community Library","p15281coll56",95
"Long Island Library Resources Council","LILRC017","Hempstead Public Library","p15281coll39",690
"Long Island Library Resources Council","LILRC018","Hicksville Public Library","p16373coll80",1684
